Year,DBN,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School
2020,04M825,2,22,6,6,9.1,5.5,16,12.4,6.3
2020,04M964,2,43,26,5,7.5,3.5,38,9.3,4.3
2020,05M030,2,34,18,*,,,*,,
2020,05M036,2,37,20,*,,,*,,
2020,05M046,3,52,22,8,9,6.9,44,10.2,8.2
2020,05M092,3,23,16,*,,,*,,
2020,05M123,2,46,14,11,8.1,4.3,35,9.8,7.4
2020,05M125,1,23,29,*,,,*,,
2020,05M129,2,40,21,7,20.8,18.9,33,14.3,11
2020,05M133,2,33,17,5,6.8,4.6,28,7.7,4
2020,05M154,2,31,13,7,7.7,2.1,24,11.7,6.3
2020,05M161,4,68,22,14,15.2,9.8,54,10.8,8.8
2020,05M175,2,28,16,*,,,*,,
2020,05M194,2,22,10,5,8.4,4.2,17,7.8,2.8
2020,05M197,2,34,26,8,13.4,9.4,26,13.4,9.2
2020,05M200,2,36,17,*,,,*,,
2020,05M286,2,15,9,6,12.8,4.3,9,14,6
2020,05M318,2,16,8,*,,,*,,
2020,05M362,3,48,11,20,6.8,4.5,28,9.9,4.4
2020,05M514,2,20,10,5,2.7,2.5,15,6.1,2.6
2020,05M517,2,29,7,*,,,*,,
2020,06M004,3,44,22,12,14.4,10.4,32,14.7,11.2
2020,06M005,3,52,25,6,25,21.8,46,12.5,10.8
2020,06M008,2,42,12,6,11.1,8.5,36,13.3,10.3
2020,06M018,2,29,13,6,13.4,8.1,23,12.6,10.1
2020,06M028,3,53,26,10,14,12.4,43,14.1,10.8
2020,06M048,2,44,24,9,12.7,10.9,35,9.4,7.2
2020,06M052,2,27,10,11,14.6,12.7,16,15.4,12.9
2020,06M098,3,37,21,6,18.9,18.8,31,14.6,11.3
2020,06M103,2,34,13,6,5.5,1.7,28,7.9,3.2
2020,06M115,4,35,15,5,15.7,13.1,30,13.9,9
2020,06M128,3,53,19,7,14.3,13.8,46,11.4,10.4
2020,06M132,2,23,12,6,21.9,18,17,14.3,13.3
2020,06M143,3,22,15,9,16.1,14.8,13,16.8,15.5
2020,06M152,3,46,27,6,17.3,8.2,40,13.9,10.5
2020,06M153,4,37,13,8,8.8,8.6,29,7.6,5.8
2020,06M173,3,41,22,6,13.6,10.3,35,10.3,8.1
2020,06M178,2,33,15,*,,,*,,
2020,06M187,3,52,17,7,12.2,11.3,45,10.2,9
2020,06M189,4,57,31,7,14.6,9.4,50,13.4,11.3
2020,06M192,3,32,16,5,15.1,4.7,27,13.2,5.9
2020,06M209,2,31,4,12,4.1,1.7,19,5.5,1.9
2020,06M210,1,38,9,6,6.8,4.3,32,13.8,10
2020,06M223,2,21,6,7,9.6,6,14,9.2,7.3
2020,06M278,2,39,13,9,9.5,6.8,30,11.7,6.8
2020,06M293,4,39,8,13,10.2,6.8,26,11,6.7
2020,06M311,2,38,12,11,5.8,3.3,27,4.3,3.7
2020,06M314,2,19,13,*,,,*,,
2020,06M319,4,32,14,12,17.3,7.1,20,11.3,7.4
2020,06M322,3,36,11,15,10.1,4,21,9.6,4.4
2020,06M324,2,33,14,12,10.2,6.8,21,10.2,7.4
2020,06M328,2,20,9,6,10.1,4.3,14,7.8,3.7
2020,06M346,3,52,11,17,10.9,6.7,35,7.1,5.9
2020,06M348,5,71,20,23,8.5,5,48,7.9,4.3
2020,06M349,2,10,1,*,,,*,,
2020,06M366,3,33,18,6,15.2,4.3,27,12.8,5
2020,06M368,1,17,5,*,,,*,,
2020,06M513,1,23,14,5,6.1,3.1,18,8.4,4.2
2020,06M528,2,18,4,6,4.2,3,12,7.7,3.8
2020,07X001,3,52,24,7,6.5,3.8,45,7.9,5.5
2020,07X005,3,62,20,9,11.1,6.5,53,11.4,6.1
2020,07X018,3,50,27,5,7.6,5.2,45,10.5,8.2
2020,07X025,3,56,25,9,11.5,6.5,47,10.3,6.2
2020,07X029,3,67,28,16,6.3,4.7,51,6.5,4.3
2020,07X030,3,45,24,7,10,8.3,38,11.3,9.9
2020,07X031,3,59,17,10,12.1,10,49,13.7,9.3
2020,07X043,3,40,18,*,,,*,,
2020,07X049,4,67,22,5,5.2,5.2,62,5.8,4.7
2020,07X065,2,33,16,9,7.5,4.9,24,8.9,3.4
2020,07X151,1,21,6,*,,,*,,
2020,09X088,2,13,0,*,,,*,,
2020,07X154,2,33,14,*,,,*,,
2020,07X157,4,51,20,6,12.1,6.4,45,10.4,8.6
2020,07X161,3,41,24,*,,,*,,
2020,07X179,2,31,14,*,,,*,,
2020,07X223,3,51,6,16,4.5,3.5,35,5,3.7
2020,07X224,2,27,10,5,7.1,2.2,22,9.9,3
2020,07X277,2,42,16,*,,,*,,
2020,07X296,2,23,9,7,6.8,4.1,16,6.2,5.4
2020,07X298,2,31,8,9,6.8,2.8,22,5.4,3.1
2020,07X343,2,24,6,8,9.9,7.2,16,11.7,7.4
2020,07X359,2,26,12,*,,,*,,
2020,07X369,2,30,17,5,9.8,7.1,25,4.3,3.2
2020,07X584,2,24,10,*,,,*,,
2020,08X014,2,36,15,6,10.7,9.1,30,16.7,13.5
2020,08X036,3,56,25,7,19.2,17.8,49,12.6,11
2020,08X048,3,63,49,9,12.2,8.7,54,12,10
2020,08X062,3,52,24,10,14,13.9,42,11.6,10.8
2020,08X069,3,44,15,6,10.3,9,38,11.9,9.8
2020,08X071,4,111,31,24,8.4,6.9,87,12.7,10.4
2020,08X072,4,56,42,5,13.5,8.3,51,13.8,11.7
2020,08X075,3,48,25,6,14,16.5,42,13.3,12.1
2020,08X093,2,36,15,*,,,*,,
2020,08X100,3,43,23,*,,,*,,
2020,08X101,3,44,12,11,10.6,5,33,9.3,6.5
2020,08X107,2,46,23,7,11.4,9.2,39,12.3,8.4
2020,08X119,3,52,20,*,,,*,,
2020,08X123,3,42,16,12,10.1,6.8,30,6.5,3.7
2020,08X130,3,34,18,*,,,*,,
2020,08X131,4,35,15,13,15.5,13.6,22,10.8,7.3
2020,08X138,3,47,19,*,,,*,,
2020,08X140,3,46,18,8,14.1,5.5,38,15.7,7.6
2020,08X146,2,31,12,*,,,*,,
2020,08X152,3,64,34,9,16.6,14.6,55,10.7,8.5
2020,08X182,4,48,19,*,,,*,,
2020,08X301,3,21,6,7,7.5,5.8,14,8.1,4.5
2020,08X302,4,43,12,14,7.7,5.9,29,5.8,3.3
2020,08X304,2,35,20,*,,,*,,
2020,08X333,3,49,20,*,,,*,,
2020,08X337,2,38,7,18,5.7,3.5,20,5.1,4.5
2020,08X367,4,48,19,18,10,4.9,30,8.9,5
2020,08X371,3,30,9,10,10.4,5.8,20,7.3,3.8
2020,08X375,3,22,11,7,11,5.6,15,6.4,3.2
2020,08X392,2,36,14,*,,,*,,
2020,08X424,2,29,13,16,6,1.7,13,5.9,1.4
2020,08X448,2,29,11,7,5.2,1.5,22,6.4,3.9
2020,08X467,2,26,9,13,8.3,3.8,13,11.3,3.2
2020,08X537,2,16,1,8,5.7,3.5,8,9.3,6.1
2020,08X559,2,25,5,11,14,4.6,14,10.8,3.1
2020,08X562,3,56,11,12,11.5,2.2,44,9,1.7
2020,08X583,1,19,9,*,,,*,,
2020,09X004,4,46,10,11,2.7,2.6,35,3.4,3.3
2020,09X011,3,49,19,5,5.9,5.7,44,12.5,9.8
2020,09X022,2,46,12,15,5.6,6.4,31,7.6,5.4
2020,09X028,4,65,35,8,7.8,2.5,57,11.5,7.6
2020,09X035,2,49,22,*,,,*,,
2020,09X042,3,39,11,*,,,*,,
2020,09X053,5,80,28,7,11.1,6.2,73,12.9,8.5
2020,09X055,3,49,20,6,16.5,14.7,43,11,8.9
2020,09X058,2,34,19,5,20.2,13.5,29,14.5,10.3
2020,09X063,4,44,21,6,8.6,6.2,38,8.6,7.3
2020,09X070,5,88,25,14,13,11.5,74,10.7,8.9
2020,09X073,4,45,25,10,14.9,11.3,35,12.5,9.5
2020,09X109,3,54,19,7,6.4,4.8,47,6.9,5
2020,09X110,3,28,18,*,,,*,,
2020,09X114,2,60,23,10,8.5,6.8,50,12.8,8.1
2020,09X117,3,45,17,18,9.8,8.3,27,15.5,11.6
2020,09X126,1,45,20,7,12.8,5.7,38,12,8.3
2020,09X128,3,25,3,7,8.5,6.1,18,7.8,5.6
2020,09X132,3,35,22,6,15.8,12.1,29,8.5,6.4
2020,09X163,2,43,15,7,3.7,3.7,36,9.7,8.2
2020,09X170,1,22,7,*,,,*,,
2020,09X199,3,55,19,5,7.9,5.6,50,12.1,8.2
2020,09X204,3,43,27,8,13.7,13.2,35,14.2,11.7
2020,09X215,3,32,7,6,9.8,6.8,26,9,4.8
2020,09X218,4,74,16,10,13.9,9.5,64,8.1,7.1
2020,09X219,3,39,18,10,10.3,5.1,29,10.6,6
2020,09X229,1,31,16,14,11.8,7.7,17,11.7,5.7
2020,09X232,2,36,13,16,10.3,4.3,20,6,5.1
2020,09X236,2,30,17,*,,,*,,
2020,09X274,2,63,28,6,9.7,2.7,57,6.1,3.1
2020,09X294,2,43,16,*,,,*,,
2020,09X303,2,32,14,5,8.7,7.4,27,6.7,4.3
2020,09X311,3,35,6,*,,,*,,
2020,09X313,2,35,12,15,10.7,5.6,20,11.4,6.1
2020,09X323,2,40,11,8,3.9,3.1,32,9.1,6.6
2020,09X324,2,37,5,10,7.2,5,27,5.1,3.5
2020,09X327,4,54,13,17,6.7,5.1,37,8,4.6
2020,09X328,2,27,11,8,9,2.7,19,11.2,4.2
2020,09X339,3,54,14,28,10.6,5.5,26,10.7,5.7
2020,09X443,3,46,10,5,14.2,7.3,41,8.6,4.8
2020,09X449,2,40,18,5,9.4,6.4,35,8.7,4.6
2020,09X454,3,37,9,13,4.1,4,24,5.6,5.2
2020,09X457,2,38,15,*,,,*,,
2020,09X555,2,28,16,*,,,*,,
2020,09X568,3,39,5,10,5.5,3.2,29,5.3,3.2
2020,09X593,1,10,1,*,,,*,,
2020,09X594,1,21,7,*,,,*,,
2020,10X003,3,29,13,6,13.1,13,23,7.5,5.8
2020,10X007,3,44,14,9,13,8.8,35,13.7,8.7
2020,10X008,4,75,15,9,10.8,9.6,66,12.9,10.6
2020,10X009,4,66,25,14,13,9.9,52,10.6,7.3
2020,10X015,2,35,11,7,10.5,8.1,28,13,11.6
2020,10X020,4,75,32,13,10.5,8.1,62,12.4,10.3
2020,10X023,3,37,35,6,12.3,13.5,31,16.7,16.9
2020,10X024,3,52,24,5,5.3,3.6,47,11.1,7.6
2020,10X032,4,63,28,9,13.4,9.9,54,9.8,8.3
2020,10X033,4,60,30,10,10.8,10.5,50,11.1,10.2
2020,10X037,2,46,27,5,13.7,5.7,41,12.7,10.4
2020,10X045,5,57,11,18,9.9,8.1,39,11.2,9.3
2020,10X046,6,66,28,9,12.8,10.1,57,14.2,12.3
2020,10X051,1,16,5,*,,,*,,
2020,10X054,3,35,19,5,6.8,3.7,30,8.6,8
2020,10X056,3,49,33,*,,,*,,
2020,10X059,4,45,25,6,18.1,17.1,39,15.7,14.4
2020,10X077,2,37,8,*,,,*,,
2020,10X080,4,47,15,16,5.3,2.8,31,4.4,2.7
2020,10X081,3,52,20,*,,,*,,
2020,10X085,4,77,29,11,13.7,12.3,66,10.3,8.7
2020,10X086,6,126,33,13,11.2,11,113,9.6,9.5
2020,10X091,3,52,21,5,12.4,11.6,47,12.1,11
2020,10X094,4,103,59,5,9.6,8.1,98,9.9,8.3
2020,10X095,5,86,31,19,13.3,10.6,67,10.3,7.6
2020,10X118,5,85,26,36,11,6.8,49,10.3,6.2
2020,10X141,5,98,19,36,12.4,8.6,62,11,7.1
2020,10X159,2,14,3,*,,,*,,
2020,10X205,4,70,24,*,,,*,,
2020,10X206,2,22,6,11,12.4,5.7,11,15.1,9.9
2020,10X207,2,32,11,*,,,*,,
2020,10X209,3,22,10,*,,,*,,
2020,10X225,3,45,14,18,11,7.2,27,7.4,4.9
2020,10X226,3,32,11,*,,,*,,
2020,10X228,3,19,5,5,8.4,6.8,14,8,5.2
2020,10X244,2,61,18,21,9.5,8.4,40,7.7,6.1
2020,10X246,2,61,12,6,10.3,10.3,55,7.9,6.6
2020,10X254,2,41,13,12,6.2,4.4,29,6.8,4.6
2020,10X279,4,75,33,12,13.3,11.4,63,10.8,9.2
2020,10X280,4,65,19,11,10.2,10.2,54,10.8,9.9
2020,10X291,3,42,12,*,,,*,,
2020,10X306,4,49,21,6,11.9,8.7,43,10.4,7.9
2020,10X307,2,31,12,7,8.3,4.6,24,9.2,5.9
2020,10X308,2,18,4,6,10.4,7,12,9.2,6.7
2020,10X310,3,50,15,5,16.1,14.5,45,10.5,9.2
2020,10X315,2,15,8,*,,,*,,
2020,10X331,3,34,14,10,5.4,3.6,24,6.1,3.9
2020,10X340,3,45,35,*,,,*,,
2020,10X344,2,29,15,5,10.4,5.6,24,7,4.8
2020,10X360,2,37,14,6,15.6,14.5,31,9.8,9.2
2020,10X363,4,94,26,26,7.7,3.8,68,7.6,2.6
2020,10X368,4,72,15,24,9.8,7.6,48,12.7,7.5
2020,10X382,2,19,4,6,14.3,7.8,13,12.6,7.6
2020,10X386,3,49,16,6,7.8,6,43,8.6,4.7
2020,10X390,4,48,15,13,11.6,9.8,35,6.1,3.8
2020,10X391,2,50,16,19,8.4,5.8,31,11.5,6
2020,10X396,3,57,19,7,4,4,50,8,6.1
2020,10X447,3,39,18,13,6.9,4.7,26,7.1,4.7
2020,11X016,2,28,13,*,,,*,,
2020,11X019,3,32,15,6,15.2,9.8,26,14.9,11.8
2020,11X021,3,46,13,*,,,*,,
2020,11X041,3,59,21,*,,,*,,
2020,11X068,5,70,19,10,11.3,8.2,60,11.3,9.1
2020,11X076,4,69,28,8,9,4.5,61,5.9,4.6
2020,11X078,4,57,22,*,,,*,,
2020,11X083,6,114,33,22,14.9,11.5,92,13.5,10.9
2020,11X087,3,34,18,*,,,*,,
2020,11X089,5,98,27,16,8,7.1,82,8.8,7.6
2020,11X096,4,68,16,9,15.9,14.2,59,10.5,9.5
2020,11X097,3,46,22,10,14.6,11.2,36,14.5,13
2020,11X103,5,78,27,13,8.4,7.8,65,11.9,10.4
2020,11X105,6,79,17,7,17.3,13.1,72,12.4,11.6
2020,11X106,1,80,26,13,13,11.3,67,14,11.8
2020,11X108,3,41,12,*,,,*,,
2020,11X111,3,50,26,6,19.8,19.3,44,12.5,9.6
2020,11X112,2,36,18,5,6.5,5.1,31,14,12.2
2020,11X121,3,55,22,6,11.4,9.4,49,13.5,11.1
2020,11X127,5,66,20,28,7.8,5.6,38,6.4,5.5
2020,11X144,3,41,18,12,13.5,11.9,29,11.2,9.8
2020,11X153,3,45,22,5,11.9,8.3,40,13.7,11.8
2020,11X160,3,37,19,*,,,*,,
2020,11X169,2,27,26,*,,,*,,
2020,11X175,2,22,7,*,,,*,,
2020,11X178,2,35,22,5,12.9,8.5,30,11.8,10.7
2020,11X180,5,81,33,16,7.8,6.4,65,9.8,6.4
2020,11X181,6,70,24,21,10.5,7.5,49,9.9,6
2020,11X189,1,30,24,*,,,*,,
2020,11X194,4,92,32,18,14.3,9.4,74,11.9,8.8
2020,11X287,3,48,13,15,9.1,3.2,33,7.9,1.5
2020,11X326,3,28,5,11,9.8,7.3,17,13,6.6
2020,11X355,2,28,7,8,8.2,3.4,20,8.6,2.6
2020,11X357,2,33,7,*,,,*,,
2020,11X370,3,38,12,15,10.3,3.3,23,10.1,3.3
2020,11X462,1,20,12,5,10.9,5.8,15,11.2,5.5
2020,11X468,2,30,6,11,5.7,2.7,19,6.1,4
2020,11X481,2,20,1,*,,,*,,
2020,11X483,1,15,6,*,,,*,,
2020,11X498,4,44,20,7,11.2,5.4,37,10.2,5.5
2020,11X529,3,42,10,6,5.6,4.5,36,6.9,3.5
2020,11X532,2,23,9,5,6.4,4.6,18,5.2,2.8
2020,11X556,2,41,9,15,5.7,4.2,26,5.5,3.4
2020,11X566,3,37,10,10,8.2,1.9,27,9.8,4.3
2020,11X567,2,36,16,*,,,*,,
2020,12X006,3,44,21,6,7.5,6.2,38,13.4,10.1
2020,12X044,2,26,14,*,,,*,,
2020,12X047,5,79,18,10,12.6,11.5,69,10.4,8.4
2020,12X057,2,45,30,7,15.8,15.1,38,10.8,7.3
2020,12X061,2,24,10,*,,,*,,
2020,12X066,4,51,20,8,13.5,10.3,43,10.4,8.8
2020,12X067,4,38,13,9,7.3,4.5,29,3.3,3.1
2020,12X098,2,25,11,8,6.7,6.3,17,9.3,7.2
2020,12X129,4,38,15,11,13.3,13,27,10,6.2
2020,12X134,3,47,19,7,15.7,7.1,40,13.6,9.6
2020,12X150,3,59,17,7,14.4,9.6,52,14.2,11.6
2020,12X190,2,23,7,6,6.8,7.1,17,12.7,4.6
2020,12X195,3,71,22,22,5.3,3.5,49,7.2,3.9
2020,12X196,2,69,19,8,4.9,3.7,61,10.1,5.9
2020,12X211,2,45,14,10,4.8,3.1,35,9.8,7
2020,12X212,2,16,8,*,,,*,,
2020,12X214,5,79,20,14,9.2,5.7,65,8.9,5.9
2020,12X217,2,33,11,10,4.1,2.8,23,4.9,1.5
2020,12X242,3,55,11,19,6,4.7,36,8.5,5.2
2020,12X273,2,18,10,6,4.8,0.7,12,4.4,1.5
2020,12X286,2,25,8,7,9.5,6,18,4.2,1.6
2020,12X300,3,50,27,7,16.8,8.8,43,14.2,9.2
2020,12X314,2,28,16,*,,,*,,
2020,12X316,2,27,5,14,5.1,4.4,13,4.2,3.5
2020,12X318,2,24,8,8,4.7,2,16,6.3,4.8
2020,12X341,2,35,12,9,9.1,0.8,26,4.6,1.6
2020,12X383,3,29,8,12,7.1,3.7,17,6.3,1.9
2020,12X458,1,26,11,5,9.8,1.2,21,5.3,2.3
2020,12X463,2,31,21,*,,,*,,
2020,12X531,2,42,26,7,10.3,2.7,35,7.6,4.1
2020,12X536,2,31,7,*,,,*,,
2020,12X595,1,20,7,*,,,*,,
2020,12X691,2,27,12,*,,,*,,
2020,13K003,1,26,11,5,17.8,15.4,21,18,15.2
2020,13K008,2,43,7,5,14.6,11.8,38,11.7,8.3
2020,13K009,2,63,30,8,7.3,4.7,55,12.2,8.5
2020,13K011,2,54,18,*,,,*,,
2020,13K020,2,34,15,*,,,*,,
2020,13K044,2,12,9,*,,,*,,
2020,13K046,1,22,14,*,,,*,,
2020,13K054,2,22,9,*,,,*,,
2020,13K056,1,25,13,*,,,*,,
2020,13K067,1,22,10,5,7.4,4.2,17,6,4.4
2020,13K093,1,19,7,*,,,*,,
2020,13K113,2,30,16,10,13.6,11.4,20,12.5,5.3
2020,13K133,3,57,23,*,,,*,,
2020,13K256,2,18,12,*,,,*,,
2020,13K265,2,28,8,10,16.1,8.7,18,18.1,11.7
2020,13K266,1,16,8,*,,,*,,
2020,13K270,1,13,8,*,,,*,,
2020,13K282,3,46,29,8,13,9.1,38,11.6,6.5
2020,13K287,1,13,8,*,,,*,,
2020,13K301,3,10,3,*,,,*,,
2020,13K305,1,11,8,*,,,*,,
2020,13K307,2,48,34,*,,,*,,
2020,13K313,2,26,7,*,,,*,,
2020,13K351,1,18,6,6,7,2.1,12,5.6,2.5
2020,13K492,3,37,16,8,9.3,5.7,29,7.2,3.9
2020,13K691,2,22,6,8,10.9,3.7,14,8.5,3.4
2020,13K915,2,20,6,*,,,*,,
2020,14K016,2,17,24,*,,,*,,
2020,14K017,1,31,14,5,12.3,9.5,26,14.2,13.5
2020,14K018,1,21,12,7,9.4,4.2,14,8.6,7.5
2020,14K023,2,30,23,6,9.5,7.4,24,9.5,6.7
2020,14K031,2,40,12,*,,,*,,
2020,14K034,2,33,12,*,,,*,,
2020,14K050,2,30,12,16,12.9,12.1,14,6.2,5.4
2020,14K059,2,29,11,*,,,*,,
2020,14K071,3,57,29,20,12.1,10.3,37,8.7,6.2
2020,14K084,4,83,17,11,8.4,5.1,72,9.5,7.1
2020,14K110,1,39,11,6,8.3,2.8,33,10.7,9.3
2020,14K120,2,31,14,*,,,*,,
2020,14K126,3,33,15,11,8,4,22,10.2,5.9
2020,14K132,3,47,18,6,10.9,7.3,41,11.3,10.1
2020,14K147,2,27,12,*,,,*,,
2020,14K157,2,41,14,6,10.9,7.4,35,10.9,9
2020,14K196,2,28,16,*,,,*,,
2020,14K250,2,34,12,*,,,*,,
2020,14K257,3,42,50,8,10.9,9.3,34,13.1,11.8
2020,14K297,2,19,14,5,7.4,6.7,14,12.7,10.2
2020,14K318,4,88,32,33,17.8,15.8,55,12.5,11.8
2020,14K319,1,10,5,*,,,*,,
2020,14K380,2,54,33,5,17.9,17.8,49,9.9,9.5
2020,14K414,3,45,14,*,,,*,,
2020,14K577,2,33,9,14,11.8,8.5,19,13.1,9.2
2020,14K582,3,29,8,11,9.7,5.6,18,7.9,4.4
