School Name,School Type,School Level,Regents Exam,Year,Total Tested,Mean Score,Number Scoring Below 65,Percent Scoring Below 65,Number Scoring 65 or Above,Percent Scoring 65 or Above,Number Scoring 80 or Above,Percent Scoring 80 or Above,Number Scoring CR,Percent Scoring CR,Mean Score_zscore,Percent Scoring Below 65_zscore,Percent Scoring 65 or Above_zscore,Percent Scoring 80 or Above_zscore,Percent Scoring CR_zscore,Mean_Score_within_SchoolType_zscore,Zip Code
Felisa Rincon de Gautier Institute for Law and Pub,General Academic,High school,Common Core English,2018,65,50.0,45.0,69.2,20.0,30.8,4.0,6.2,6.0,9.2,-1.39,0.95,-0.95,-0.58,-1.0,-1.43,10001
Longwood Preparatory Academy,General Academic,High school,Common Core Algebra,2015,6,51.5,5.0,83.3,1.0,16.7,0.0,0.0,0.0,0.0,-1.26,1.44,-1.44,-0.82,-1.29,-1.3,10001
Longwood Preparatory Academy,General Academic,High school,English,2015,110,58.7,58.0,52.7,52.0,47.3,7.0,6.4,15.0,13.6,-0.61,0.37,-0.37,-0.57,-0.85,-0.66,10001
Longwood Preparatory Academy,General Academic,High school,Integrated Algebra,2015,86,58.9,59.0,68.6,27.0,31.4,2.0,2.3,2.0,2.3,-0.59,0.93,-0.93,-0.73,-1.22,-0.65,10001
Longwood Preparatory Academy,General Academic,High school,Common Core Algebra,2016,73,57.4,55.0,75.3,18.0,24.7,2.0,2.7,11.0,15.1,-0.73,1.16,-1.16,-0.72,-0.81,-0.78,10001
Longwood Preparatory Academy,General Academic,High school,Common Core English,2016,81,64.2,28.0,34.6,53.0,65.4,16.0,19.8,26.0,32.1,-0.11,-0.26,0.26,-0.06,-0.26,-0.18,10001
Longwood Preparatory Academy,General Academic,High school,English,2016,36,53.6,30.0,83.3,6.0,16.7,1.0,2.8,2.0,5.6,-1.07,1.44,-1.44,-0.71,-1.11,-1.12,10001
Longwood Preparatory Academy,General Academic,High school,Integrated Algebra,2016,30,66.6,12.0,40.0,18.0,60.0,7.0,23.3,7.0,23.3,0.1,-0.07,0.07,0.08,-0.54,0.04,10001
Longwood Preparatory Academy,General Academic,High school,Common Core Algebra,2017,92,62.5,47.0,51.1,45.0,48.9,2.0,2.2,26.0,28.3,-0.27,0.32,-0.32,-0.73,-0.38,-0.33,10001
Longwood Preparatory Academy,General Academic,High school,Common Core English,2017,88,53.8,52.0,59.1,36.0,40.9,9.0,10.2,16.0,18.2,-1.05,0.6,-0.6,-0.43,-0.71,-1.1,10001
Longwood Preparatory Academy,General Academic,High school,Common Core Geometry,2017,17,48.1,17.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.56,2.03,-2.03,-0.82,-1.29,-1.6,10001
Longwood Preparatory Academy,General Academic,High school,Common Core Algebra,2018,106,61.5,60.0,56.6,46.0,43.4,3.0,2.8,26.0,24.5,-0.36,0.51,-0.51,-0.71,-0.5,-0.42,10001
Longwood Preparatory Academy,General Academic,High school,Common Core English,2018,79,56.2,48.0,60.8,31.0,39.2,8.0,10.1,13.0,16.5,-0.83,0.66,-0.66,-0.43,-0.76,-0.88,10001
Longwood Preparatory Academy,General Academic,High school,Common Core Geometry,2018,24,46.6,21.0,87.5,3.0,12.5,0.0,0.0,1.0,4.2,-1.7,1.59,-1.59,-0.82,-1.16,-1.74,10001
Longwood Preparatory Academy,General Academic,High school,Common Core Algebra,2019,205,60.7,112.0,54.6,93.0,45.4,7.0,3.4,52.0,25.4,-0.43,0.44,-0.44,-0.69,-0.47,-0.49,10001
Longwood Preparatory Academy,General Academic,High school,Common Core English,2019,166,61.5,72.0,43.4,94.0,56.6,27.0,16.3,45.0,27.1,-0.36,0.05,-0.05,-0.19,-0.42,-0.42,10001
Longwood Preparatory Academy,General Academic,High school,Common Core Geometry,2019,31,53.2,27.0,87.1,4.0,12.9,0.0,0.0,2.0,6.5,-1.1,1.57,-1.57,-0.82,-1.08,-1.15,10001
Bronx Arena High School,Transfer School,High school,English,2015,52,69.5,12.0,23.1,40.0,76.9,13.0,25.0,20.0,38.5,0.36,-0.66,0.66,0.14,-0.05,0.85,10451
Bronx Arena High School,Transfer School,High school,Integrated Algebra,2015,41,65.0,17.0,41.5,24.0,58.5,2.0,4.9,2.0,4.9,-0.04,-0.02,0.02,-0.63,-1.14,0.3,10451
Bronx Arena High School,Transfer School,High school,Common Core Algebra,2016,26,56.8,19.0,73.1,7.0,26.9,1.0,3.8,3.0,11.5,-0.78,1.09,-1.09,-0.67,-0.92,-0.71,10451
Bronx Arena High School,Transfer School,High school,Common Core English,2016,36,73.1,6.0,16.7,30.0,83.3,9.0,25.0,15.0,41.7,0.69,-0.88,0.88,0.14,0.05,1.29,10451
Bronx Arena High School,Transfer School,High school,Common Core Geometry,2016,6,49.0,5.0,83.3,1.0,16.7,0.0,0.0,0.0,0.0,-1.48,1.44,-1.44,-0.82,-1.29,-1.67,10451
Bronx Arena High School,Transfer School,High school,English,2016,8,61.8,5.0,62.5,3.0,37.5,0.0,0.0,0.0,0.0,-0.33,0.72,-0.72,-0.82,-1.29,-0.1,10451
Bronx Arena High School,Transfer School,High school,Geometry,2016,7,57.9,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.68,2.03,-2.03,-0.82,-1.29,-0.58,10451
Bronx Arena High School,Transfer School,High school,Integrated Algebra,2016,39,65.3,12.0,30.8,27.0,69.2,0.0,0.0,0.0,0.0,-0.01,-0.39,0.39,-0.82,-1.29,0.33,10451
Bronx Arena High School,Transfer School,High school,Common Core Algebra,2017,21,65.1,11.0,52.4,10.0,47.6,1.0,4.8,6.0,28.6,-0.03,0.36,-0.36,-0.63,-0.37,0.31,10451
Bronx Arena High School,Transfer School,High school,Common Core English,2017,48,65.4,15.0,31.3,33.0,68.8,10.0,20.8,15.0,31.3,-0.0,-0.37,0.38,-0.02,-0.28,0.35,10451
Bronx Arena High School,Transfer School,High school,Common Core Algebra,2018,24,54.7,17.0,70.8,7.0,29.2,0.0,0.0,2.0,8.3,-0.97,1.01,-1.01,-0.82,-1.03,-0.97,10451
Bronx Arena High School,Transfer School,High school,Common Core English,2018,45,61.6,22.0,48.9,23.0,51.1,8.0,17.8,12.0,26.7,-0.35,0.24,-0.24,-0.13,-0.43,-0.12,10451
Bronx Arena High School,Transfer School,High school,Common Core Algebra,2019,22,64.5,9.0,40.9,13.0,59.1,0.0,0.0,5.0,22.7,-0.09,-0.04,0.04,-0.82,-0.56,0.24,10451
Bronx Arena High School,Transfer School,High school,Common Core English,2019,50,66.0,15.0,30.0,35.0,70.0,6.0,12.0,13.0,26.0,0.05,-0.42,0.42,-0.36,-0.45,0.42,10451
Westchester Square Academy,General Academic,High school,Common Core Algebra,2015,107,62.7,49.0,45.8,58.0,54.2,0.0,0.0,37.0,34.6,-0.25,0.13,-0.13,-0.82,-0.18,-0.31,10001
Westchester Square Academy,General Academic,High school,Common Core English,2015,148,72.1,40.0,27.0,108.0,73.0,53.0,35.8,82.0,55.4,0.6,-0.52,0.52,0.56,0.5,0.52,10001
Westchester Square Academy,General Academic,High school,Common Core Geometry,2015,52,53.4,44.0,84.6,8.0,15.4,0.0,0.0,3.0,5.8,-1.09,1.49,-1.49,-0.82,-1.11,-1.13,10001
Westchester Square Academy,General Academic,High school,English,2015,25,66.6,7.0,28.0,18.0,72.0,1.0,4.0,4.0,16.0,0.1,-0.49,0.49,-0.67,-0.78,0.04,10001
Westchester Square Academy,General Academic,High school,Geometry,2015,55,60.3,30.0,54.5,25.0,45.5,3.0,5.5,3.0,5.5,-0.46,0.44,-0.44,-0.61,-1.12,-0.52,10001
Westchester Square Academy,General Academic,High school,Integrated Algebra,2015,82,65.9,35.0,42.7,47.0,57.3,17.0,20.7,17.0,20.7,0.04,0.02,-0.02,-0.02,-0.63,-0.03,10001
Westchester Square Academy,General Academic,High school,Algebra2/Trigonometry,2016,40,55.8,32.0,80.0,8.0,20.0,4.0,10.0,4.0,10.0,-0.87,1.33,-1.33,-0.43,-0.97,-0.92,10001
Westchester Square Academy,General Academic,High school,Common Core Algebra,2016,165,69.5,39.0,23.6,126.0,76.4,32.0,19.4,97.0,58.8,0.36,-0.64,0.64,-0.07,0.61,0.29,10001
Westchester Square Academy,General Academic,High school,Common Core Algebra2,2016,30,58.1,21.0,70.0,9.0,30.0,0.0,0.0,9.0,30.0,-0.66,0.98,-0.98,-0.82,-0.33,-0.72,10001
Westchester Square Academy,General Academic,High school,Common Core English,2016,213,66.9,69.0,32.4,144.0,67.6,63.0,29.6,89.0,41.8,0.13,-0.34,0.34,0.32,0.06,0.06,10001
Westchester Square Academy,General Academic,High school,Common Core Geometry,2016,92,65.3,37.0,40.2,55.0,59.8,2.0,2.2,41.0,44.6,-0.01,-0.06,0.06,-0.73,0.15,-0.08,10001
Westchester Square Academy,General Academic,High school,English,2016,7,48.1,6.0,85.7,1.0,14.3,0.0,0.0,0.0,0.0,-1.56,1.53,-1.53,-0.82,-1.29,-1.6,10001
Westchester Square Academy,General Academic,High school,Integrated Algebra,2016,11,63.0,5.0,45.5,6.0,54.5,1.0,9.1,1.0,9.1,-0.22,0.12,-0.12,-0.47,-1.0,-0.28,10001
Westchester Square Academy,General Academic,High school,Common Core Algebra,2017,231,66.3,96.0,41.6,135.0,58.4,35.0,15.2,104.0,45.0,0.08,-0.01,0.01,-0.23,0.16,0.01,10001
Westchester Square Academy,General Academic,High school,Common Core Algebra2,2017,55,68.0,17.0,30.9,38.0,69.1,4.0,7.3,38.0,69.1,0.23,-0.39,0.39,-0.54,0.94,0.16,10001
Westchester Square Academy,General Academic,High school,Common Core English,2017,84,63.4,27.0,32.1,57.0,67.9,19.0,22.6,29.0,34.5,-0.18,-0.35,0.35,0.05,-0.18,-0.25,10001
Westchester Square Academy,General Academic,High school,Common Core Geometry,2017,80,63.8,40.0,50.0,40.0,50.0,4.0,5.0,25.0,31.3,-0.15,0.28,-0.28,-0.63,-0.28,-0.21,10001
Westchester Square Academy,General Academic,High school,Common Core Algebra,2018,195,59.3,120.0,61.5,75.0,38.5,8.0,4.1,48.0,24.6,-0.55,0.68,-0.68,-0.66,-0.5,-0.61,10001
Westchester Square Academy,General Academic,High school,Common Core Algebra2,2018,56,65.3,22.0,39.3,34.0,60.7,4.0,7.1,34.0,60.7,-0.01,-0.1,0.1,-0.55,0.67,-0.08,10001
Westchester Square Academy,General Academic,High school,Common Core English,2018,164,73.1,35.0,21.3,129.0,78.7,80.0,48.8,101.0,61.6,0.69,-0.72,0.72,1.06,0.7,0.61,10001
Westchester Square Academy,General Academic,High school,Common Core Geometry,2018,122,52.0,95.0,77.9,27.0,22.1,1.0,0.8,18.0,14.8,-1.21,1.25,-1.25,-0.79,-0.82,-1.26,10001
Westchester Square Academy,General Academic,High school,Common Core Algebra,2019,215,61.5,116.0,54.0,99.0,46.0,10.0,4.7,64.0,29.8,-0.36,0.42,-0.42,-0.64,-0.33,-0.42,10001
Westchester Square Academy,General Academic,High school,Common Core Algebra2,2019,35,63.8,12.0,34.3,23.0,65.7,2.0,5.7,23.0,65.7,-0.15,-0.27,0.27,-0.6,0.83,-0.21,10001
Westchester Square Academy,General Academic,High school,Common Core English,2019,149,71.8,36.0,24.2,113.0,75.8,53.0,35.6,73.0,49.0,0.57,-0.62,0.62,0.55,0.29,0.5,10001
Westchester Square Academy,General Academic,High school,Common Core Geometry,2019,61,59.5,38.0,62.3,23.0,37.7,3.0,4.9,17.0,27.9,-0.54,0.71,-0.71,-0.63,-0.39,-0.59,10001
School for Tourism and Hospitality,Career Technical,High school,Common Core Algebra,2015,71,56.3,54.0,76.1,17.0,23.9,0.0,0.0,1.0,1.4,-0.82,1.19,-1.19,-0.82,-1.25,-0.71,10001
School for Tourism and Hospitality,Career Technical,High school,Common Core English,2015,70,73.0,15.0,21.4,55.0,78.6,27.0,38.6,39.0,55.7,0.68,-0.72,0.72,0.67,0.5,1.04,10001
School for Tourism and Hospitality,Career Technical,High school,Integrated Algebra,2015,118,66.7,42.0,35.6,76.0,64.4,11.0,9.3,11.0,9.3,0.11,-0.22,0.22,-0.46,-0.99,0.38,10001
School for Tourism and Hospitality,Career Technical,High school,Common Core Algebra,2016,107,60.0,63.0,58.9,44.0,41.1,3.0,2.8,24.0,22.4,-0.49,0.59,-0.59,-0.71,-0.57,-0.32,10001
School for Tourism and Hospitality,Career Technical,High school,Common Core English,2016,79,63.6,26.0,32.9,53.0,67.1,15.0,19.0,22.0,27.8,-0.17,-0.32,0.32,-0.09,-0.4,0.05,10001
School for Tourism and Hospitality,Career Technical,High school,Common Core Geometry,2016,12,46.1,12.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.74,2.03,-2.03,-0.82,-1.29,-1.77,10001
School for Tourism and Hospitality,Career Technical,High school,Integrated Algebra,2016,6,57.3,4.0,66.7,2.0,33.3,0.0,0.0,0.0,0.0,-0.73,0.86,-0.86,-0.82,-1.29,-0.6,10001
School for Tourism and Hospitality,Career Technical,High school,Common Core Algebra,2017,122,59.5,79.0,64.8,43.0,35.2,5.0,4.1,30.0,24.6,-0.54,0.8,-0.8,-0.66,-0.5,-0.37,10001
School for Tourism and Hospitality,Career Technical,High school,Common Core English,2017,86,61.5,32.0,37.2,54.0,62.8,19.0,22.1,31.0,36.0,-0.36,-0.17,0.17,0.03,-0.13,-0.16,10001
School for Tourism and Hospitality,Career Technical,High school,Common Core Algebra,2018,134,52.9,107.0,79.9,27.0,20.1,0.0,0.0,12.0,9.0,-1.13,1.32,-1.32,-0.82,-1.0,-1.06,10001
School for Tourism and Hospitality,Career Technical,High school,Common Core English,2018,97,55.7,52.0,53.6,45.0,46.4,10.0,10.3,17.0,17.5,-0.88,0.4,-0.4,-0.42,-0.73,-0.77,10001
School for Tourism and Hospitality,Career Technical,High school,Common Core Algebra,2019,106,54.9,87.0,82.1,19.0,17.9,3.0,2.8,10.0,9.4,-0.95,1.4,-1.4,-0.71,-0.99,-0.85,10001
School for Tourism and Hospitality,Career Technical,High school,Common Core English,2019,107,57.6,50.0,46.7,57.0,53.3,20.0,18.7,28.0,26.2,-0.71,0.16,-0.16,-0.1,-0.45,-0.57,10001
Bronx Compass High School,General Academic,High school,Common Core Algebra,2015,128,54.5,111.0,86.7,17.0,13.3,0.0,0.0,3.0,2.3,-0.99,1.56,-1.56,-0.82,-1.22,-1.04,10451
Bronx Compass High School,General Academic,High school,Common Core English,2015,159,68.0,51.0,32.1,108.0,67.9,26.0,16.4,61.0,38.4,0.23,-0.35,0.35,-0.19,-0.05,0.16,10451
Bronx Compass High School,General Academic,High school,Common Core Geometry,2015,25,52.3,23.0,92.0,2.0,8.0,0.0,0.0,1.0,4.0,-1.18,1.75,-1.75,-0.82,-1.16,-1.23,10451
Bronx Compass High School,General Academic,High school,English,2015,51,55.7,34.0,66.7,17.0,33.3,1.0,2.0,3.0,5.9,-0.88,0.86,-0.86,-0.74,-1.1,-0.93,10451
Bronx Compass High School,General Academic,High school,Geometry,2015,30,53.6,24.0,80.0,6.0,20.0,0.0,0.0,0.0,0.0,-1.07,1.33,-1.33,-0.82,-1.29,-1.12,10451
Bronx Compass High School,General Academic,High school,Integrated Algebra,2015,84,55.0,64.0,76.2,20.0,23.8,1.0,1.2,1.0,1.2,-0.94,1.19,-1.19,-0.77,-1.26,-0.99,10451
Bronx Compass High School,General Academic,High school,Common Core Algebra,2016,152,60.0,89.0,58.6,63.0,41.4,4.0,2.6,31.0,20.4,-0.49,0.58,-0.58,-0.72,-0.64,-0.55,10451
Bronx Compass High School,General Academic,High school,Common Core English,2016,178,60.7,85.0,47.8,93.0,52.2,24.0,13.5,41.0,23.0,-0.43,0.2,-0.2,-0.3,-0.55,-0.49,10451
Bronx Compass High School,General Academic,High school,Common Core Geometry,2016,63,50.4,57.0,90.5,6.0,9.5,0.0,0.0,4.0,6.3,-1.36,1.69,-1.69,-0.82,-1.09,-1.4,10451
Bronx Compass High School,General Academic,High school,English,2016,12,49.8,7.0,58.3,5.0,41.7,1.0,8.3,2.0,16.7,-1.41,0.57,-0.57,-0.5,-0.75,-1.45,10451
Bronx Compass High School,General Academic,High school,Geometry,2016,18,49.2,18.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.46,2.03,-2.03,-0.82,-1.29,-1.51,10451
Bronx Compass High School,General Academic,High school,Integrated Algebra,2016,24,61.0,16.0,66.7,8.0,33.3,0.0,0.0,0.0,0.0,-0.4,0.86,-0.86,-0.82,-1.29,-0.46,10451
Bronx Compass High School,General Academic,High school,Common Core Algebra,2017,209,62.0,103.0,49.3,106.0,50.7,7.0,3.3,72.0,34.4,-0.31,0.25,-0.25,-0.69,-0.18,-0.37,10451
Bronx Compass High School,General Academic,High school,Common Core English,2017,99,55.3,46.0,46.5,53.0,53.5,13.0,13.1,19.0,19.2,-0.91,0.16,-0.16,-0.32,-0.67,-0.96,10451
Bronx Compass High School,General Academic,High school,Common Core Geometry,2017,28,55.2,21.0,75.0,7.0,25.0,0.0,0.0,4.0,14.3,-0.92,1.15,-1.15,-0.82,-0.83,-0.97,10451
Bronx Compass High School,General Academic,High school,Common Core Algebra,2018,251,61.7,122.0,48.6,129.0,51.4,3.0,1.2,84.0,33.5,-0.34,0.23,-0.23,-0.77,-0.21,-0.4,10451
Bronx Compass High School,General Academic,High school,Common Core Algebra2,2018,36,55.9,27.0,75.0,9.0,25.0,0.0,0.0,9.0,25.0,-0.86,1.15,-1.15,-0.82,-0.49,-0.91,10451
Bronx Compass High School,General Academic,High school,Common Core English,2018,112,63.4,41.0,36.6,71.0,63.4,19.0,17.0,36.0,32.1,-0.18,-0.19,0.19,-0.17,-0.26,-0.25,10451
Bronx Compass High School,General Academic,High school,Common Core Algebra,2019,187,60.4,107.0,57.2,80.0,42.8,5.0,2.7,47.0,25.1,-0.46,0.53,-0.53,-0.72,-0.48,-0.51,10451
Bronx Compass High School,General Academic,High school,Common Core Algebra2,2019,40,53.9,29.0,72.5,11.0,27.5,0.0,0.0,11.0,27.5,-1.04,1.06,-1.06,-0.82,-0.41,-1.09,10451
Bronx Compass High School,General Academic,High school,Common Core English,2019,121,68.6,36.0,29.8,85.0,70.2,37.0,30.6,53.0,43.8,0.28,-0.43,0.43,0.36,0.12,0.21,10451
Bronx Compass High School,General Academic,High school,Common Core Geometry,2019,20,69.9,6.0,30.0,14.0,70.0,0.0,0.0,13.0,65.0,0.4,-0.42,0.42,-0.82,0.81,0.33,10451
Blueprint Middle School,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2017,22,79.5,0.0,0.0,22.0,100.0,13.0,59.1,22.0,100.0,1.26,-1.47,1.47,1.45,1.94,1.18,10001
Blueprint Middle School,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2018,9,81.0,0.0,0.0,9.0,100.0,7.0,77.8,9.0,100.0,1.4,-1.47,1.47,2.17,1.94,1.31,10001
Jane Addams High School for Academic Careers,Career Technical,High school,English,2015,23,59.2,11.0,47.8,12.0,52.2,1.0,4.3,4.0,17.4,-0.56,0.2,-0.2,-0.65,-0.73,-0.41,10001
Jane Addams High School for Academic Careers,Career Technical,High school,Integrated Algebra,2015,38,64.9,13.0,34.2,25.0,65.8,2.0,5.3,2.0,5.3,-0.05,-0.27,0.27,-0.62,-1.12,0.19,10001
J.H.S. 022 Jordan L. Mott,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2017,12,61.2,6.0,50.0,6.0,50.0,1.0,8.3,4.0,33.3,-0.38,0.28,-0.28,-0.5,-0.22,-0.44,10001
I.S. 117 Joseph H. Wade,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2016,32,69.9,6.0,18.8,26.0,81.3,4.0,12.5,17.0,53.1,0.4,-0.81,0.81,-0.34,0.42,0.33,10001
I.S. 117 Joseph H. Wade,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2017,30,62.9,18.0,60.0,12.0,40.0,3.0,10.0,11.0,36.7,-0.23,0.63,-0.63,-0.43,-0.11,-0.29,10001
I.S. 117 Joseph H. Wade,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2018,29,57.2,18.0,62.1,11.0,37.9,0.0,0.0,7.0,24.1,-0.74,0.7,-0.7,-0.82,-0.52,-0.8,10001
I.S. 117 Joseph H. Wade,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2019,29,62.6,16.0,55.2,13.0,44.8,3.0,10.3,10.0,34.5,-0.26,0.46,-0.46,-0.42,-0.18,-0.32,10001
Mott Hall III,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2015,11,76.5,0.0,0.0,11.0,100.0,2.0,18.2,11.0,100.0,0.99,-1.47,1.47,-0.12,1.94,0.91,10001
Mott Hall III,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2016,30,86.5,0.0,0.0,30.0,100.0,30.0,100.0,30.0,100.0,1.9,-1.47,1.47,3.03,1.94,1.8,10001
Mott Hall III,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2017,22,91.4,0.0,0.0,22.0,100.0,22.0,100.0,22.0,100.0,2.34,-1.47,1.47,3.03,1.94,2.23,10001
Mott Hall III,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2018,28,89.7,0.0,0.0,28.0,100.0,28.0,100.0,28.0,100.0,2.18,-1.47,1.47,3.03,1.94,2.08,10001
Mott Hall III,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2019,10,90.4,0.0,0.0,10.0,100.0,10.0,100.0,10.0,100.0,2.25,-1.47,1.47,3.03,1.94,2.14,10001
Kappa,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2015,81,64.5,35.0,43.2,46.0,56.8,1.0,1.2,22.0,27.2,-0.09,0.04,-0.04,-0.77,-0.42,-0.15,10001
Kappa,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2016,52,75.5,6.0,11.5,46.0,88.5,16.0,30.8,42.0,80.8,0.9,-1.07,1.07,0.37,1.32,0.82,10001
Kappa,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2017,28,80.9,0.0,0.0,28.0,100.0,18.0,64.3,27.0,96.4,1.39,-1.47,1.47,1.65,1.82,1.3,10001
Kappa,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2018,26,76.2,1.0,3.8,25.0,96.2,9.0,34.6,21.0,80.8,0.97,-1.34,1.34,0.51,1.32,0.89,10001
Kappa,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2019,23,82.0,0.0,0.0,23.0,100.0,17.0,73.9,23.0,100.0,1.49,-1.47,1.47,2.02,1.94,1.4,10001
P.S./I.S. 218 Rafael Hernandez Dual Language Magne,General Academic,K-8,Common Core Algebra,2015,30,69.1,7.0,23.3,23.0,76.7,1.0,3.3,16.0,53.3,0.33,-0.65,0.65,-0.69,0.43,0.26,10001
P.S./I.S. 218 Rafael Hernandez Dual Language Magne,General Academic,K-8,Common Core Algebra,2016,31,79.4,0.0,0.0,31.0,100.0,17.0,54.8,29.0,93.5,1.26,-1.47,1.47,1.29,1.73,1.17,10001
P.S./I.S. 218 Rafael Hernandez Dual Language Magne,General Academic,K-8,Common Core Algebra,2017,79,64.9,41.0,51.9,38.0,48.1,11.0,13.9,33.0,41.8,-0.05,0.35,-0.35,-0.28,0.06,-0.11,10001
P.S./I.S. 218 Rafael Hernandez Dual Language Magne,General Academic,K-8,Common Core Algebra,2018,90,59.8,52.0,57.8,38.0,42.2,6.0,6.7,29.0,32.2,-0.51,0.55,-0.55,-0.56,-0.25,-0.57,10001
P.S./I.S. 218 Rafael Hernandez Dual Language Magne,General Academic,K-8,Common Core Algebra,2019,54,72.4,10.0,18.5,44.0,81.5,11.0,20.4,38.0,70.4,0.63,-0.82,0.82,-0.03,0.98,0.55,10001
I.S. 219 New Venture School,General Academic,Junior High-Intermediate-Middle,Common Core Algebra,2015,17,61.8,9.0,52.9,8.0,47.1,0.0,0.0,2.0,11.8,-0.33,0.38,-0.38,-0.82,-0.91,-0.39,10001
Bronx Collegiate Academy,General Academic,High school,Algebra2/Trigonometry,2015,20,43.4,17.0,85.0,3.0,15.0,1.0,5.0,1.0,5.0,-1.99,1.5,-1.5,-0.63,-1.13,-2.02,10451
Bronx Collegiate Academy,General Academic,High school,Common Core Algebra,2015,59,60.9,30.0,50.8,29.0,49.2,0.0,0.0,12.0,20.3,-0.41,0.31,-0.31,-0.82,-0.64,-0.47,10451
Bronx Collegiate Academy,General Academic,High school,Common Core English,2015,45,55.8,31.0,68.9,14.0,31.1,5.0,11.1,8.0,17.8,-0.87,0.94,-0.94,-0.39,-0.72,-0.92,10451
Bronx Collegiate Academy,General Academic,High school,English,2015,110,64.9,42.0,38.2,68.0,61.8,13.0,11.8,28.0,25.5,-0.05,-0.13,0.13,-0.37,-0.47,-0.11,10451
Bronx Collegiate Academy,General Academic,High school,Geometry,2015,31,68.7,8.0,25.8,23.0,74.2,4.0,12.9,4.0,12.9,0.29,-0.57,0.57,-0.32,-0.88,0.22,10451
Bronx Collegiate Academy,General Academic,High school,Integrated Algebra,2015,69,65.8,25.0,36.2,44.0,63.8,3.0,4.3,3.0,4.3,0.03,-0.2,0.2,-0.65,-1.16,-0.03,10451
Bronx Collegiate Academy,General Academic,High school,Algebra2/Trigonometry,2016,21,56.3,13.0,61.9,8.0,38.1,2.0,9.5,2.0,9.5,-0.82,0.69,-0.69,-0.45,-0.99,-0.88,10451
Bronx Collegiate Academy,General Academic,High school,Common Core Algebra,2016,161,63.5,67.0,41.6,94.0,58.4,7.0,4.3,50.0,31.1,-0.18,-0.01,0.01,-0.65,-0.29,-0.24,10451
Bronx Collegiate Academy,General Academic,High school,Common Core Algebra2,2016,11,56.3,8.0,72.7,3.0,27.3,0.0,0.0,3.0,27.3,-0.82,1.07,-1.07,-0.82,-0.41,-0.88,10451
Bronx Collegiate Academy,General Academic,High school,Common Core English,2016,123,68.4,38.0,30.9,85.0,69.1,40.0,32.5,55.0,44.7,0.27,-0.39,0.39,0.43,0.15,0.2,10451
Bronx Collegiate Academy,General Academic,High school,Common Core Geometry,2016,36,53.6,29.0,80.6,7.0,19.4,0.0,0.0,3.0,8.3,-1.07,1.35,-1.35,-0.82,-1.03,-1.12,10451
Bronx Collegiate Academy,General Academic,High school,English,2016,16,54.1,11.0,68.8,5.0,31.3,1.0,6.3,1.0,6.3,-1.02,0.94,-0.93,-0.58,-1.09,-1.07,10451
Bronx Collegiate Academy,General Academic,High school,Geometry,2016,14,55.5,11.0,78.6,3.0,21.4,0.0,0.0,0.0,0.0,-0.9,1.28,-1.28,-0.82,-1.29,-0.95,10451
Bronx Collegiate Academy,General Academic,High school,Integrated Algebra,2016,14,60.6,10.0,71.4,4.0,28.6,0.0,0.0,0.0,0.0,-0.44,1.03,-1.03,-0.82,-1.29,-0.5,10451
Bronx Collegiate Academy,General Academic,High school,Algebra2/Trigonometry,2017,12,49.3,12.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.45,2.03,-2.03,-0.82,-1.29,-1.5,10451
Bronx Collegiate Academy,General Academic,High school,Common Core Algebra,2017,233,62.4,116.0,49.8,117.0,50.2,7.0,3.0,76.0,32.6,-0.27,0.27,-0.27,-0.7,-0.24,-0.34,10451
Bronx Collegiate Academy,General Academic,High school,Common Core Algebra2,2017,22,60.8,13.0,59.1,9.0,40.9,0.0,0.0,9.0,40.9,-0.42,0.6,-0.6,-0.82,0.03,-0.48,10451
Bronx Collegiate Academy,General Academic,High school,Common Core English,2017,218,63.2,86.0,39.4,132.0,60.6,40.0,18.3,64.0,29.4,-0.2,-0.09,0.09,-0.12,-0.34,-0.26,10451
Bronx Collegiate Academy,General Academic,High school,Common Core Geometry,2017,55,58.7,43.0,78.2,12.0,21.8,0.0,0.0,8.0,14.5,-0.61,1.26,-1.26,-0.82,-0.83,-0.66,10451
